,Georgia,forecast,interval_low,interval_high
2020-03-07,5.0,2210.269287109375,2104.765380859375,2326.1494140625
2020-03-08,5.0,1101.6070556640625,937.0848388671875,1186.01220703125
2020-03-09,10.0,1208.8253173828125,1084.2230224609375,1397.9393310546875
2020-03-10,17.0,1394.9693603515625,1259.5228271484375,1475.983642578125
2020-03-11,23.0,1724.2490234375,1601.39697265625,1836.4560546875
2020-03-12,31.0,2014.9390869140625,1870.15087890625,2150.151123046875
2020-03-13,42.0,2216.598876953125,2092.645751953125,2361.143798828125
2020-03-14,73.0,2210.587158203125,2105.074462890625,2326.530029296875
2020-03-15,99.0,1106.3553466796875,941.7365112304688,1190.1195068359375
2020-03-16,121.0,1214.5107421875,1089.790283203125,1402.914306640625
2020-03-17,146.0,1401.2484130859375,1265.6832275390625,1481.605224609375
2020-03-18,197.0,1729.1873779296875,1606.2022705078125,1840.695556640625
2020-03-19,287.0,2019.2353515625,1874.338623046875,2153.829345703125
2020-03-20,485.0,2221.483154296875,2097.404296875,2365.3505859375
2020-03-21,555.0,2217.383544921875,2111.703125,2334.1826171875
2020-03-22,621.0,1167.3236083984375,1001.5497436523438,1256.8582763671875
2020-03-23,772.0,1283.097412109375,1156.9775390625,1463.2691650390625
2020-03-24,1026.0,1475.4351806640625,1338.503173828125,1548.4046630859375
2020-03-25,1247.0,1791.7965087890625,1667.230224609375,1895.1976318359375
2020-03-26,1525.0,2075.781005859375,1929.5753173828125,2203.079833984375
2020-03-27,2000.0,2283.774169921875,2158.203369140625,2419.826904296875
2020-03-28,2366.0,2297.564208984375,2189.93701171875,2423.708984375
2020-03-29,2651.0,1600.7120361328125,1427.666259765625,1742.9029541015625
2020-03-30,2808.0,1759.40869140625,1624.4918212890625,1889.0247802734375
2020-03-31,3929.0,1983.3271484375,1837.758544921875,2100.22607421875
2020-04-01,4638.0,2235.8525390625,2101.201171875,2315.692138671875
2020-04-02,5348.0,2488.010009765625,2333.52978515625,2571.551025390625
2020-04-03,5831.0,2726.865234375,2591.83837890625,2816.427490234375
2020-04-04,6160.0,2842.431884765625,2722.299560546875,3022.80517578125
