,Iowa,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,37905.789657828944,,
2020-01-25,0.0,37907.028236165774,,
2020-01-26,0.0,37908.04200684366,,
2020-01-27,0.0,37909.33207189756,,
2020-01-28,0.0,37910.513965315506,,
2020-01-29,0.0,37913.329665232886,,
2020-01-30,0.0,37916.498186408564,,
2020-01-31,0.0,37918.06108533024,,
2020-02-01,0.0,37916.92057550421,,
2020-02-02,0.0,37914.662255299605,,
2020-02-03,0.0,37913.10921378536,,
2020-02-04,0.0,37912.71080356815,,
2020-02-05,0.0,37913.18854322764,,
2020-02-06,0.0,37914.04608941722,,
2020-02-07,0.0,37914.728780606805,,
2020-02-08,0.0,37914.85673995027,,
2020-02-09,0.0,37914.479756231456,,
2020-02-10,0.0,37913.96987914029,,
2020-02-11,0.0,37913.65905893673,,
2020-02-12,0.0,37913.65178859866,,
2020-02-13,0.0,37913.8607637518,,
2020-02-14,0.0,37914.111663187614,,
2020-02-15,0.0,37914.250523632356,,
2020-02-16,0.0,37914.225253807046,,
2020-02-17,0.0,37914.095058431376,,
2020-02-18,0.0,37913.9646626206,,
2020-02-19,0.0,37913.90778212742,,
2020-02-20,0.0,37913.93498575998,,
2020-02-21,0.0,37914.007336628216,,
2020-02-22,0.0,37914.071512787945,,
2020-02-23,0.0,37914.093111316826,,
2020-02-24,0.0,37914.07141878817,,
2020-02-25,0.0,37914.03087897792,,
2020-02-26,0.0,37913.99986347861,,
2020-02-27,0.0,37913.99325109985,,
2020-02-28,0.0,37914.007924118414,,
2020-02-29,0.0,37914.0296376797,,
2020-03-01,0.0,37914.04410607295,,
2020-03-02,0.0,37914.045098713264,,
2020-03-03,0.0,37914.03579375278,,
2020-03-04,0.0,37914.024358437855,,
2020-03-05,0.0,37914.01788512592,,
2020-03-06,0.0,37914.0186596116,,
2020-03-07,0.0,37914.02421900634,,
2020-03-08,0.0,37914.030073537564,,
2020-03-09,3.0,37914.03281388067,,
2020-03-10,8.0,37911.24154061654,,
2020-03-11,13.0,37909.725125189434,,
2020-03-12,14.0,37910.37179563062,,
2020-03-13,17.0,37914.99369941126,,
2020-03-14,17.0,37913.365095926456,,
2020-03-15,18.0,37916.85408938816,,
2020-03-16,23.0,37916.35154777116,,
2020-03-17,23.0,37913.16571337418,,
2020-03-18,38.0,37916.81584153143,,
2020-03-19,44.0,37901.68882147725,,
2020-03-20,45.0,37910.63587489799,,
2020-03-21,69.0,37915.33275897996,,
2020-03-22,90.0,37896.42981135147,,
2020-03-23,105.0,37901.19449462245,,
2020-03-24,124.0,37911.66129249831,,
2020-03-25,146.0,37911.769707047075,,
2020-03-26,179.0,37907.21457920706,,
2020-03-27,235.0,37899.34219269736,,
2020-03-28,298.0,37883.06722322329,,
2020-03-29,336.0,37881.74966680145,,
