,New Jersey,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,2.0,0.5082466682826032,0.5082466682826032,0.5082466682826032
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,2.0,3.8399533264194057,3.8399533264194057,3.8399533264194057
2020-03-08,1.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,10.0,10.541982274566243,10.541982274566243,10.541982274566243
2020-03-11,8.0,0.0,0.0,0.0
2020-03-12,6.0,7.555463128144556,7.555463128144556,7.555463128144556
2020-03-13,20.0,24.080189432735004,24.080189432735004,24.080189432735004
2020-03-14,20.0,0.0,0.0,0.0
2020-03-15,3.0,0.22587684747380976,0.22587684747380976,0.22587684747380976
2020-03-16,104.0,135.6664743242451,135.6664743242451,135.6664743242451
2020-03-17,74.0,0.0,0.0,0.0
2020-03-18,147.0,189.23639419882176,189.23639419882176,189.23639419882176
2020-03-19,344.0,239.53727527558345,239.53727527558345,239.53727527558345
2020-03-20,149.0,0.0,0.0,0.0
2020-03-21,437.0,777.9857991106355,777.9857991106355,777.9857991106355
2020-03-22,587.0,161.77964058156795,161.77964058156795,161.77964058156795
2020-03-23,930.0,674.1185610088946,674.1185610088946,674.1185610088946
2020-03-24,831.0,292.14267754705077,292.14267754705077,292.14267754705077
2020-03-25,727.0,1006.9418207145487,1006.9418207145487,1006.9418207145487
2020-03-26,2474.0,2846.4809648007877,2846.4809648007877,2846.4809648007877
2020-03-27,1949.0,0.0,0.0,0.0
2020-03-28,2299.0,3204.6098925009524,3204.6098925009524,3204.6098925009524
2020-03-29,2262.0,2229.352934406321,2229.352934406321,2229.352934406321
2020-03-30,3250.0,3646.186869200506,3646.186869200506,3646.186869200506
2020-03-31,2060.0,534.4111226019863,534.4111226019863,534.4111226019863
2020-04-01,3559.0,5866.636456315664,5866.636456315664,5866.636456315664
2020-04-02,3335.0,1693.1317009478687,1693.1317009478687,1693.1317009478687
2020-04-03,4305.0,4812.651650839326,4812.651650839326,4812.651650839326
2020-04-04,4229.0,3080.3107494013993,3080.3107494013993,3080.3107494013993
2020-04-05,3381.0,3913.7057385086564,3913.7057385086564,3913.7057385086564
2020-04-06,3585.0,5670.9380274586,5670.9380274586,5670.9380274586
2020-04-07,3326.0,3248.0110455693925,3248.0110455693925,3248.0110455693925
2020-04-08,3021.0,3805.7542007131556,3805.7542007131556,3805.7542007131556
2020-04-09,3590.0,4457.149548397714,4457.149548397714,4457.149548397714
2020-04-10,3561.0,3084.7441829177346,3084.7441829177346,3084.7441829177346
2020-04-11,3563.0,3706.3697630463957,3706.3697630463957,3706.3697630463957
2020-04-12,3699.0,3682.688199242449,3682.688199242449,3682.688199242449
2020-04-13,2734.0,2531.3630000954686,2531.3630000954686,2531.3630000954686
2020-04-14,4240.0,5783.6219356028705,5783.6219356028705,5783.6219356028705
2020-04-15,2206.0,0.0,0.0,0.0
2020-04-16,4287.0,7622.448234639578,7622.448234639578,7622.448234639578
2020-04-17,3150.0,0.0,0.0,0.0
2020-04-18,2953.0,4581.132042084156,4581.132042084156,4581.132042084156
2020-04-19,3881.0,4455.371452824744,4455.371452824744,4455.371452824744
2020-04-20,3421.0,1674.3579835188564,1674.3579835188564,1674.3579835188564
2020-04-21,3665.0,4375.021489391462,4375.021489391462,4375.021489391462
2020-04-22,3527.0,2989.0435110779736,2989.0435110779736,2989.0435110779736
2020-04-23,4111.0,4654.950227215142,4654.950227215142,4654.950227215142
2020-04-24,2171.0,1018.9451854554634,1018.9451854554634,1018.9451854554634
2020-04-25,3302.0,6564.590643060104,6564.590643060104,6564.590643060104
2020-04-26,3540.0,2012.0407279703013,2012.0407279703013,2012.0407279703013
