,Missouri,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,17.75884437561035,17.75884437561035,17.75884437561035
2020-01-31,0.0,19.14184856414795,17.75884437561035,20.524852752685547
2020-02-01,0.0,20.962947845458984,17.75884437561035,24.605146408081055
2020-02-02,0.0,21.912811279296875,17.75884437561035,24.762401580810547
2020-02-03,0.0,21.65237808227539,17.75884437561035,24.762401580810547
2020-02-04,0.0,19.56653356552124,9.137310981750488,24.762401580810547
2020-02-05,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-06,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-07,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-08,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-09,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-10,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-11,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-12,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-13,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-14,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-15,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-16,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-17,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-18,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-19,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-20,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-21,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-22,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-23,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-24,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-25,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-26,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-27,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-28,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-02-29,0.0,17.83780438559396,7.465429306030273,24.762401580810547
2020-03-01,0.0,17.837803840637207,7.465429306030273,24.762401580810547
2020-03-02,0.0,17.837804658072336,7.465429306030273,24.762401580810547
2020-03-03,0.0,17.837805475507462,7.465429306030273,24.76240348815918
