,Massachusetts,forecast,interval_low,interval_high
2020-01-23,0.0,-0.27031174302101135,-1.0458976030349731,0.002621561288833618
2020-01-24,0.0,0.05228586867451668,-0.15865963697433472,0.38457125425338745
2020-01-25,0.0,-0.011513668112456799,-0.032016873359680176,0.016851574182510376
2020-01-26,0.0,0.055784475058317184,-0.012706577777862549,0.3003666400909424
2020-01-27,0.0,0.02679883874952793,-0.006432473659515381,0.07677298784255981
2020-01-28,0.0,-0.7467707395553589,-3.654902458190918,-0.012280583381652832
2020-01-29,0.0,0.010478782467544079,0.0048458874225616455,0.018191784620285034
2020-01-30,0.0,-1.841928482055664,-5.355010509490967,0.01507335901260376
2020-01-31,0.0,-0.003596436930820346,-0.0069255828857421875,0.004094243049621582
2020-02-01,0.0,0.00482514500617981,-0.004124760627746582,0.01433485746383667
2020-02-02,0.0,-0.007995235733687878,-0.05698251724243164,0.015561878681182861
2020-02-03,0.0,-0.10522565990686417,-0.4718433618545532,0.003657817840576172
2020-02-04,0.0,-0.1769951730966568,-0.6256701946258545,0.002163439989089966
2020-02-05,0.0,0.0157940573990345,-0.009528696537017822,0.07010257244110107
2020-02-06,0.0,-0.2179974615573883,-0.5795387029647827,0.020328134298324585
2020-02-07,0.0,-0.004220008850097656,-0.03180551528930664,0.01926553249359131
2020-02-08,0.0,-0.16962888836860657,-0.9322807788848877,0.04444235563278198
2020-02-09,0.0,-0.4814007878303528,-2.3083105087280273,-0.010374844074249268
2020-02-10,0.0,0.0016314387321472168,-0.01154106855392456,0.018274784088134766
2020-02-11,0.0,0.05154041573405266,-0.1790844202041626,0.31344330310821533
2020-02-12,0.0,-0.6584410667419434,-2.5350470542907715,0.07146921753883362
2020-02-13,0.0,-0.004610174801200628,-0.021186470985412598,0.01803654432296753
2020-02-14,0.0,0.5515704154968262,-0.012798845767974854,2.5692098140716553
2020-02-15,0.0,-0.012907683849334717,-0.04335916042327881,0.030454188585281372
2020-02-16,0.0,-0.18663915991783142,-0.5658668279647827,0.036395251750946045
2020-02-17,0.0,0.0678827092051506,-0.17547625303268433,0.533997654914856
2020-02-18,0.0,-0.09290523827075958,-0.4243844747543335,-0.0029306411743164062
2020-02-19,0.0,0.04269549995660782,-0.008446693420410156,0.10218456387519836
2020-02-20,0.0,-0.04987158626317978,-0.12474733591079712,0.02103230357170105
2020-02-21,0.0,0.023899322375655174,-0.0253065824508667,0.05546450614929199
2020-02-22,0.0,0.017648469656705856,-0.41252225637435913,0.7544295787811279
2020-02-23,0.0,-0.06322042644023895,-0.4092835783958435,0.05302998423576355
2020-02-24,0.0,0.034475743770599365,-0.34610211849212646,0.5175676345825195
2020-02-25,0.0,-0.09717978537082672,-0.2704755663871765,0.010017067193984985
2020-02-26,0.0,-0.030283231288194656,-0.2145063281059265,0.0592673122882843
2020-02-27,0.0,-0.02242913842201233,-0.04116702079772949,0.010848969221115112
2020-02-28,0.0,0.036964934319257736,0.002565443515777588,0.07878810167312622
2020-02-29,0.0,-0.06200369447469711,-0.2737995982170105,0.014726519584655762
2020-03-01,0.0,-0.0216078944504261,-0.07490229606628418,0.00019720196723937988
2020-03-02,0.0,0.03801804780960083,-0.00995248556137085,0.17876923084259033
2020-03-03,0.0,0.001112943864427507,-0.027627766132354736,0.033205002546310425
2020-03-04,0.0,0.04803247004747391,-0.002793729305267334,0.19538617134094238
2020-03-05,0.0,-0.01512532215565443,-0.7831602096557617,0.7665512561798096
2020-03-06,0.0,0.01303786039352417,-0.02705603837966919,0.032093584537506104
2020-03-07,0.0,-0.16530419886112213,-0.6136170625686646,0.005369305610656738
2020-03-08,0.0,-0.10124371200799942,-0.7302758693695068,0.08844873309135437
2020-03-09,0.0,0.0389036163687706,-0.39453738927841187,0.5692193508148193
2020-03-10,0.0,0.016971075907349586,-0.020669400691986084,0.06135660409927368
2020-03-11,0.0,-0.013079887256026268,-0.02247709035873413,0.004987627267837524
2020-03-12,0.0,-0.2776447832584381,-1.6173312664031982,0.3403465449810028
2020-03-13,0.0,0.01680130884051323,0.0042330920696258545,0.03642043471336365
2020-03-14,0.0,0.7048894166946411,-0.23388153314590454,3.2329955101013184
2020-03-15,0.0,-0.0005974590894766152,-0.03207367658615112,0.034521907567977905
2020-03-16,0.0,-0.018323201686143875,-0.05240863561630249,0.026880234479904175
2020-03-17,0.0,0.017036521807312965,-0.028446674346923828,0.1056896448135376
2020-03-18,0.0,-0.13289114832878113,-0.7389190196990967,0.05557933449745178
2020-03-19,0.0,0.16861064732074738,-0.028532087802886963,0.7681511044502258
2020-03-20,1.0,0.9797646403312683,0.9651346206665039,0.9955954551696777
2020-03-21,0.0,1.1967798471450806,0.0020005106925964355,5.842641353607178
2020-03-22,4.0,3.8443386554718018,3.2308027744293213,4.024059295654297
2020-03-23,4.0,3.617706775665283,2.3167712688446045,3.9639580249786377
2020-03-24,2.0,2.0730738639831543,2.020411491394043,2.1101202964782715
2020-03-25,4.0,5.163370132446289,3.954275608062744,9.903807640075684
2020-03-26,10.0,9.94838809967041,9.903179168701172,10.000920295715332
2020-03-27,10.0,9.943986892700195,9.57054328918457,10.101546287536621
2020-03-28,9.0,8.981340408325195,8.920741081237793,9.003067016601562
2020-03-29,4.0,7.044943809509277,3.99306583404541,19.190555572509766
2020-03-30,8.0,17.306957244873047,7.994406700134277,31.72579574584961
2020-03-31,33.0,27.94479751586914,7.7334723472595215,33.011051177978516
2020-04-01,33.0,32.61373519897461,27.37320899963379,37.721656799316406
2020-04-02,32.0,30.076217651367188,22.30999755859375,32.0550537109375
