,Oklahoma,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,3.948809989896523,3.948809989896523,3.948809989896523
2020-01-25,0.0,1.5461007149350459,1.5461007149350459,1.5461007149350459
2020-01-26,0.0,3.0887821369076134,3.0887821369076134,3.0887821369076134
2020-01-27,0.0,4.399761321979218,4.399761321979218,4.399761321979218
2020-01-28,0.0,7.908455161896015,7.908455161896015,7.908455161896015
2020-01-29,0.0,14.364236805506879,14.364236805506879,14.364236805506879
2020-01-30,0.0,21.79209555795,21.79209555795,21.79209555795
2020-01-31,0.0,21.585201710108926,21.585201710108926,21.585201710108926
2020-02-01,0.0,15.034659013230309,15.034659013230309,15.034659013230309
2020-02-02,0.0,11.861322442253611,11.861322442253611,11.861322442253611
2020-02-03,0.0,12.37776765188498,12.37776765188498,12.37776765188498
2020-02-04,0.0,14.493084562178362,14.493084562178362,14.493084562178362
2020-02-05,0.0,15.877300458447456,15.877300458447456,15.877300458447456
2020-02-06,0.0,15.118241116197229,15.118241116197229,15.118241116197229
2020-02-07,0.0,13.594966375774645,13.594966375774645,13.594966375774645
2020-02-08,0.0,13.041442833070116,13.041442833070116,13.041442833070116
2020-02-09,0.0,13.572004768981085,13.572004768981085,13.572004768981085
2020-02-10,0.0,14.363742164564266,14.363742164564266,14.363742164564266
2020-02-11,0.0,14.568893924435459,14.568893924435459,14.568893924435459
2020-02-12,0.0,14.123389699823653,14.123389699823653,14.123389699823653
2020-02-13,0.0,13.664165212810465,13.664165212810465,13.664165212810465
2020-02-14,0.0,13.632188340904348,13.632188340904348,13.632188340904348
2020-02-15,0.0,13.921394643915916,13.921394643915916,13.921394643915916
2020-02-16,0.0,14.161426609649647,14.161426609649647,14.161426609649647
2020-02-17,0.0,14.128861010293512,14.128861010293512,14.128861010293512
2020-02-18,0.0,13.933028650085065,13.933028650085065,13.933028650085065
2020-02-19,0.0,13.813696892630581,13.813696892630581,13.813696892630581
2020-02-20,0.0,13.861912930339834,13.861912930339834,13.861912930339834
2020-02-21,0.0,13.981301549121044,13.981301549121044,13.981301549121044
2020-02-22,0.0,14.035359284536572,14.035359284536572,14.035359284536572
2020-02-23,0.0,13.989891362408008,13.989891362408008,13.989891362408008
2020-02-24,0.0,13.91838256700506,13.91838256700506,13.91838256700506
2020-02-25,0.0,13.897925552527422,13.897925552527422,13.897925552527422
2020-02-26,0.0,13.933074302667203,13.933074302667203,13.933074302667203
2020-02-27,0.0,13.97343783924508,13.97343783924508,13.97343783924508
2020-02-28,0.0,13.978238900774473,13.978238900774473,13.978238900774473
2020-02-29,0.0,13.953173656289259,13.953173656289259,13.953173656289259
2020-03-01,0.0,13.931396219991687,13.931396219991687,13.931396219991687
2020-03-02,0.0,13.933053854227468,13.933053854227468,13.933053854227468
2020-03-03,0.0,13.949628831747827,13.949628831747827,13.949628831747827
2020-03-04,0.0,13.96065524335488,13.96065524335488,13.96065524335488
2020-03-05,0.0,13.957039091099746,13.957039091099746,13.957039091099746
2020-03-06,0.0,13.946590960678009,13.946590960678009,13.946590960678009
2020-03-07,1.0,14.941467485081166,14.941467485081166,14.941467485081166
2020-03-08,0.0,13.24196140994979,13.24196140994979,13.24196140994979
2020-03-09,0.0,13.913981019194722,13.913981019194722,13.913981019194722
2020-03-10,1.0,15.405633178277492,15.405633178277492,15.405633178277492
2020-03-11,0.0,13.262941280897001,13.262941280897001,13.262941280897001
2020-03-12,1.0,14.574358816765374,14.574358816765374,14.574358816765374
2020-03-13,0.0,13.95164113303718,13.95164113303718,13.95164113303718
2020-03-14,1.0,15.449018416435258,15.449018416435258,15.449018416435258
2020-03-15,0.0,13.567398724610824,13.567398724610824,13.567398724610824
2020-03-16,6.0,19.965126453552024,19.965126453552024,19.965126453552024
2020-03-17,7.0,17.06485201104879,17.06485201104879,17.06485201104879
2020-03-18,0.0,9.207819955394722,9.207819955394722,9.207819955394722
2020-03-19,27.0,43.53218018870574,43.53218018870574,43.53218018870574
2020-03-20,5.0,3.548172202461597,3.548172202461597,3.548172202461597
2020-03-21,4.0,11.765473812730303,11.765473812730303,11.765473812730303
2020-03-22,14.0,36.3005343008373,36.3005343008373,36.3005343008373
2020-03-23,14.0,25.35654651261777,25.35654651261777,25.35654651261777
2020-03-24,25.0,26.176847272555957,26.176847272555957,26.176847272555957
2020-03-25,58.0,65.6480729517499,65.6480729517499,65.6480729517499
2020-03-26,84.0,73.590129331122,73.590129331122,73.590129331122
2020-03-27,74.0,40.174924177719745,40.174924177719745,40.174924177719745
2020-03-28,55.0,36.920145501244654,36.920145501244654,36.920145501244654
2020-03-29,52.0,59.50282772593809,59.50282772593809,59.50282772593809
2020-03-30,52.0,56.18213078265284,56.18213078265284,56.18213078265284
2020-03-31,87.0,90.29972734478964,90.29972734478964,90.29972734478964
2020-04-01,153.0,156.79850037389997,156.79850037389997,156.79850037389997
2020-04-02,160.0,134.1084398897176,134.1084398897176,134.1084398897176
2020-04-03,109.0,76.41692420956662,76.41692420956662,76.41692420956662
2020-04-04,171.0,177.16459761531777,177.16459761531777,177.16459761531777
2020-04-05,93.0,40.307628155086476,40.307628155086476,40.307628155086476
2020-04-06,75.0,50.88266116269719,50.88266116269719,50.88266116269719
2020-04-07,145.0,212.2833264442561,212.2833264442561,212.2833264442561
2020-04-08,52.0,99.88608501237468,99.88608501237468,99.88608501237468
2020-04-09,160.0,227.91088988427484,227.91088988427484,227.91088988427484
2020-04-10,108.0,117.80412753942869,117.80412753942869,117.80412753942869
