,Grand Princess,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,103.58013254444684,,
2020-01-24,0.0,103.58521571792892,,
2020-01-25,0.0,103.59029698399327,,
2020-01-26,0.0,103.59373842950826,,
2020-01-27,0.0,103.59800056453,,
2020-01-28,0.0,103.6178894089484,,
2020-01-29,0.0,103.6178894089484,,
2020-01-30,0.0,103.6178894089484,,
2020-01-31,0.0,103.6178894089484,,
2020-02-01,0.0,103.6178894089484,,
2020-02-02,0.0,103.6178894089484,,
2020-02-03,0.0,103.6178894089484,,
2020-02-04,0.0,103.6178894089484,,
2020-02-05,0.0,103.6178894089484,,
2020-02-06,0.0,103.6178894089484,,
2020-02-07,0.0,103.6178894089484,,
2020-02-08,0.0,103.6178894089484,,
2020-02-09,0.0,103.6178894089484,,
2020-02-10,0.0,103.6178894089484,,
2020-02-11,0.0,103.6178894089484,,
2020-02-12,0.0,103.6178894089484,,
2020-02-13,0.0,103.6178894089484,,
2020-02-14,0.0,103.6178894089484,,
2020-02-15,0.0,103.6178894089484,,
2020-02-16,0.0,103.6178894089484,,
2020-02-17,0.0,103.6178894089484,,
2020-02-18,0.0,103.6178894089484,,
2020-02-19,0.0,103.6178894089484,,
2020-02-20,0.0,103.6178894089484,,
2020-02-21,0.0,103.6178894089484,,
2020-02-22,0.0,103.6178894089484,,
2020-02-23,0.0,103.6178894089484,,
2020-02-24,0.0,103.6178894089484,,
2020-02-25,0.0,103.6178894089484,,
2020-02-26,0.0,103.6178894089484,,
2020-02-27,0.0,103.6178894089484,,
2020-02-28,0.0,103.6178894089484,,
2020-02-29,0.0,103.6178894089484,,
2020-03-01,0.0,103.6178894089484,,
2020-03-02,0.0,103.6178894089484,,
2020-03-03,0.0,103.6178894089484,,
2020-03-04,0.0,103.6178894089484,,
2020-03-05,0.0,103.6178894089484,,
2020-03-06,0.0,103.6178894089484,,
2020-03-07,0.0,103.6178894089484,,
2020-03-08,0.0,103.6178894089484,,
2020-03-09,0.0,103.6178894089484,,
2020-03-10,0.0,103.6178894089484,,
2020-03-11,0.0,103.6178894089484,,
2020-03-12,0.0,103.6178894089484,,
2020-03-13,0.0,103.6178894089484,,
2020-03-14,0.0,103.6178894089484,,
2020-03-15,0.0,103.6178894089484,,
2020-03-16,20.0,103.6178894089484,,
2020-03-17,21.0,103.43450165000469,,
2020-03-18,21.0,103.42886060382871,,
2020-03-19,22.0,103.48516826424651,,
2020-03-20,23.0,103.45302369503435,,
2020-03-21,23.0,102.92707343913679,,
2020-03-22,30.0,103.5694511236405,,
2020-03-23,28.0,103.54004178876221,,
2020-03-24,28.0,103.53254298721156,,
2020-03-25,28.0,103.55931158406341,,
2020-03-26,28.0,103.57793375528658,,
2020-03-27,28.0,103.40002806037616,,
2020-03-28,103.0,103.6844072204626,,
2020-03-29,103.0,102.93018531290949,,
2020-03-30,103.0,102.9434165945515,,
2020-03-31,103.0,103.15390875703616,,
2020-04-01,103.0,103.05722721916824,,
2020-04-02,103.0,101.12347147716568,,
2020-04-03,103.0,103.6178894089484,,
2020-04-04,103.0,103.6178894089484,,
2020-04-05,103.0,103.6178894089484,,
2020-04-06,103.0,103.6178894089484,,
2020-04-07,103.0,103.6178894089484,,
2020-04-08,103.0,103.6178894089484,,
2020-04-09,103.0,103.6178894089484,,
2020-04-10,103.0,103.6178894089484,,
2020-04-11,103.0,103.6178894089484,,
2020-04-12,103.0,103.6178894089484,,
2020-04-13,103.0,103.6178894089484,,
2020-04-14,103.0,103.6178894089484,,
2020-04-15,103.0,103.6178894089484,,
2020-04-16,103.0,103.6178894089484,,
2020-04-17,103.0,103.6178894089484,,
2020-04-18,103.0,103.6178894089484,,
2020-04-19,103.0,103.6178894089484,,
2020-04-20,103.0,103.6178894089484,,
2020-04-21,103.0,103.6178894089484,,
2020-04-22,103.0,103.6178894089484,,
2020-04-23,103.0,103.6178894089484,,
2020-04-24,103.0,103.6178894089484,,
2020-04-25,103.0,103.6178894089484,,
2020-04-26,103.0,103.6178894089484,,
2020-04-27,103.0,103.6178894089484,,
