,Connecticut,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,2.3587565422058105,0.07851670682430267,3.9011192321777344
2020-02-04,0.0,2.7565975189208984,0.5704964399337769,4.444888591766357
2020-02-05,0.0,3.2219314575195312,1.231270670890808,4.832844257354736
2020-02-06,0.0,3.5373523235321045,1.858858346939087,4.806044578552246
2020-02-07,0.0,4.235109806060791,2.121415138244629,5.6338210105896
2020-02-08,0.0,4.613422393798828,3.185516834259033,6.110410213470459
2020-02-09,0.0,6.065906524658203,4.3202056884765625,7.1026930809021
2020-02-10,0.0,2.3587565422058105,0.07851670682430267,3.9011192321777344
2020-02-11,0.0,2.7565975189208984,0.5704964399337769,4.444888591766357
2020-02-12,0.0,3.2219314575195312,1.231270670890808,4.832844257354736
2020-02-13,0.0,3.5373523235321045,1.858858346939087,4.806044578552246
2020-02-14,0.0,4.235109806060791,2.121415138244629,5.6338210105896
2020-02-15,0.0,4.613422393798828,3.185516834259033,6.110410213470459
2020-02-16,0.0,6.065906524658203,4.3202056884765625,7.1026930809021
2020-02-17,0.0,2.3587565422058105,0.07851670682430267,3.9011192321777344
2020-02-18,0.0,2.7565975189208984,0.5704964399337769,4.444888591766357
2020-02-19,0.0,3.2219314575195312,1.231270670890808,4.832844257354736
2020-02-20,0.0,3.5373523235321045,1.858858346939087,4.806044578552246
2020-02-21,0.0,4.235109806060791,2.121415138244629,5.6338210105896
2020-02-22,0.0,4.613422393798828,3.185516834259033,6.110410213470459
2020-02-23,0.0,6.065906524658203,4.3202056884765625,7.1026930809021
2020-02-24,0.0,2.3587565422058105,0.07851670682430267,3.9011192321777344
2020-02-25,0.0,2.7565975189208984,0.5704964399337769,4.444888591766357
2020-02-26,0.0,3.2219314575195312,1.231270670890808,4.832844257354736
2020-02-27,0.0,3.5373523235321045,1.858858346939087,4.806044578552246
2020-02-28,0.0,4.235109806060791,2.121415138244629,5.6338210105896
2020-02-29,0.0,4.613422393798828,3.185516834259033,6.110410213470459
2020-03-01,0.0,6.065906524658203,4.3202056884765625,7.1026930809021
2020-03-02,0.0,2.3587565422058105,0.07851670682430267,3.9011192321777344
2020-03-03,0.0,2.7565975189208984,0.5704964399337769,4.444888591766357
2020-03-04,0.0,3.2219314575195312,1.231270670890808,4.832844257354736
