,Virgin Islands,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-02-03,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-02-04,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-02-05,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-02-06,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-02-07,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-02-08,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-02-09,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-02-10,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-02-11,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-02-12,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-02-13,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-02-14,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-02-15,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-02-16,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-02-17,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-02-18,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-02-19,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-02-20,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-02-21,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-02-22,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-02-23,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-02-24,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-02-25,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-02-26,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-02-27,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-02-28,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-02-29,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-03-01,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-03-02,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-03-03,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-03-04,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-03-05,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-03-06,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-03-07,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-03-08,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-03-09,0.0,0.16455566883087158,0.0,0.3059435784816742
2020-03-10,0.0,0.029150238260626793,0.0,0.0893624946475029
2020-03-11,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-03-12,0.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-03-13,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-03-14,0.0,0.1455334573984146,0.0,0.2427811473608017
2020-03-15,0.0,0.092923104763031,0.04640384763479233,0.17914827167987823
2020-03-16,1.0,0.16455566883087158,0.0,0.3059435784816742
2020-03-17,1.0,0.029150238260626793,0.0,0.0893624946475029
2020-03-18,0.0,0.15843041241168976,0.06466177850961685,0.221418097615242
2020-03-19,1.0,0.18381758034229279,0.07646851241588593,0.26488906145095825
2020-03-20,0.0,0.42247843742370605,0.286124050617218,0.5764219164848328
2020-03-21,3.0,0.1455334573984146,0.0,0.2427811473608017
2020-03-22,0.0,0.30108678340911865,0.2083112895488739,0.43153104186058044
2020-03-23,1.0,0.4510696232318878,0.4361253082752228,0.4654148519039154
2020-03-24,10.0,0.21648068726062775,0.15468023717403412,0.28051385283470154
2020-03-25,0.0,0.6849265098571777,0.5666956901550293,0.8441188931465149
2020-03-26,0.0,0.6034968495368958,0.5991532206535339,0.6085079312324524
2020-03-27,2.0,0.8644835352897644,0.6388176083564758,1.0676095485687256
2020-03-28,3.0,0.7415676116943359,0.5155754089355469,0.8936719298362732
2020-03-29,1.0,1.8577079772949219,1.5467028617858887,2.266991376876831
2020-03-30,7.0,2.3394830226898193,1.5695043802261353,3.3682894706726074
2020-03-31,0.0,1.908299446105957,1.278812050819397,2.306419849395752
2020-04-01,0.0,3.7179155349731445,2.5077321529388428,4.6940813064575195
2020-04-02,0.0,3.305866003036499,2.7123496532440186,3.975675582885742
2020-04-03,7.0,3.2869327068328857,2.5747244358062744,4.1585869789123535
2020-04-04,3.0,4.2669782638549805,3.9286184310913086,4.664743423461914
2020-04-05,2.0,1.9748401641845703,1.8078067302703857,2.277631998062134
2020-04-06,1.0,2.428117513656616,1.578925371170044,3.5849733352661133
2020-04-07,0.0,2.2431938648223877,1.5156867504119873,2.7266275882720947
2020-04-08,2.0,3.683736801147461,2.67388916015625,4.323437690734863
2020-04-09,0.0,3.448777437210083,2.847801685333252,4.036157608032227
2020-04-10,5.0,2.596489667892456,1.8515504598617554,3.9701180458068848
2020-04-11,1.0,4.629018306732178,4.429771423339844,4.91254186630249
2020-04-12,0.0,2.698018789291382,2.227844715118408,3.1249701976776123
2020-04-13,0.0,2.282910108566284,1.1316221952438354,3.80279541015625
2020-04-14,0.0,3.2984840869903564,2.3608648777008057,3.836617946624756
