,West Virginia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,111.66475219505082,,
2020-01-25,0.0,112.09976023314286,,
2020-01-26,0.0,112.43965456638762,,
2020-01-27,0.0,112.58425887256821,,
2020-01-28,0.0,112.90634543859159,,
2020-01-29,0.0,113.01552659188675,,
2020-01-30,0.0,113.18330383908182,,
2020-01-31,0.0,113.17339307821642,,
2020-02-01,0.0,113.27389039227324,,
2020-02-02,0.0,113.22426451028132,,
2020-02-03,0.0,113.29957485565299,,
2020-02-04,0.0,113.23996947762302,,
2020-02-05,0.0,113.30502495038014,,
2020-02-06,0.0,113.24475319837438,,
2020-02-07,0.0,113.30452212985507,,
2020-02-08,0.0,113.2462043378818,,
2020-02-09,0.0,113.30242256720551,,
2020-02-10,0.0,113.24664399096675,,
2020-02-11,0.0,113.30002014282687,,
2020-02-12,0.0,113.24677714265722,,
2020-02-13,0.0,113.29768249348888,,
2020-02-14,0.0,113.24681746385721,,
2020-02-15,0.0,113.29550092334372,,
2020-02-16,0.0,113.24682967356112,,
2020-02-17,0.0,113.29348641338501,,
2020-02-18,0.0,113.24683337075521,,
2020-02-19,0.0,113.29162825630387,,
2020-02-20,0.0,113.24683449029102,,
2020-02-21,0.0,113.28991129287178,,
2020-02-22,0.0,113.24683482929383,,
2020-02-23,0.0,113.28832074176634,,
2020-02-24,0.0,113.24683493194608,,
2020-02-25,0.0,113.28684335920451,,
2020-02-26,0.0,113.24683496302985,,
2020-02-27,0.0,113.28546754984936,,
2020-02-28,0.0,113.24683497244223,,
2020-02-29,0.0,113.28418320749172,,
2020-03-01,0.0,113.24683497529234,,
2020-03-02,0.0,113.28298151051415,,
2020-03-03,0.0,113.24683497615538,,
2020-03-04,0.0,113.28185473236412,,
2020-03-05,0.0,113.24683497641672,,
2020-03-06,0.0,113.28079607929618,,
2020-03-07,0.0,113.24683497649585,,
2020-03-08,0.0,113.27979955450932,,
2020-03-09,0.0,113.24683497651982,,
2020-03-10,0.0,113.27885984485911,,
2020-03-11,0.0,113.24683497652707,,
2020-03-12,0.0,113.27797222620701,,
2020-03-13,0.0,113.24683497652927,,
2020-03-14,0.0,113.27713248402395,,
2020-03-15,0.0,113.24683497652994,,
2020-03-16,0.0,113.27633684648495,,
2020-03-17,0.0,113.24683497653014,,
2020-03-18,1.0,113.2755819278304,,
2020-03-19,1.0,112.34131893007432,,
2020-03-20,6.0,112.75738621317166,,
2020-03-21,4.0,108.39456920593267,,
2020-03-22,4.0,112.18383604082503,,
2020-03-23,0.0,112.51874842398533,,
2020-03-24,6.0,115.86763782073675,,
2020-03-25,17.0,109.82875745903009,,
2020-03-26,13.0,101.17536099295273,,
2020-03-27,24.0,110.5876763399873,,
2020-03-28,20.0,100.2249103439862,,
2020-03-29,17.0,108.85141050567458,,
2020-03-30,32.0,113.48392673389208,,
2020-03-31,17.0,98.6404179194048,,
2020-04-01,29.0,119.50006098339944,,
2020-04-02,25.0,105.41987825162296,,
2020-04-03,21.0,111.308053731233,,
2020-04-04,45.0,117.62191435728496,,
2020-04-05,42.0,91.79539886771612,,
2020-04-06,21.0,105.6540915064565,,
2020-04-07,67.0,126.2351591926635,,
2020-04-08,71.0,77.45043367252335,,
2020-04-09,31.0,89.954711800274,,
2020-04-10,60.0,137.60737291449345,,
2020-04-11,3.0,93.94612232729403,,
2020-04-12,16.0,157.40509380900932,,
2020-04-13,18.0,128.57909803934584,,
2020-04-14,29.0,118.96294931932404,,
2020-04-15,62.0,113.81292580816074,,
2020-04-16,26.0,79.16536339984756,,
2020-04-17,47.0,128.63419392202638,,
2020-04-18,10.0,97.80260755814848,,
2020-04-19,105.0,138.00809190891516,,
2020-04-20,12.0,44.06740508514032,,
2020-04-21,6.0,156.06230478364768,,
2020-04-22,31.0,145.95999076178947,,
2020-04-23,42.0,97.61618549805729,,
2020-04-24,29.0,112.9843311952413,,
2020-04-25,0.0,114.62617633283958,,
2020-04-26,45.0,146.07706339712325,,
2020-04-27,8.0,82.07146851456417,,
2020-04-28,32.0,140.07209304723366,,
2020-04-29,15.0,100.19345441038166,,
2020-04-30,15.0,124.06966477358789,,
2020-05-01,27.0,117.76067437152729,,
2020-05-02,33.0,106.62115064025315,,
2020-05-03,10.0,102.99399615359515,,
2020-05-04,29.0,130.2375594063659,,
2020-05-05,22.0,101.64746681347481,,
2020-05-06,-4.0,115.79250938841696,,
2020-05-07,45.0,137.93358109165456,,
2020-05-08,36.0,82.65754014563379,,
2020-05-09,0.0,104.50887659634323,,
2020-05-10,37.0,143.29402947120553,,
2020-05-11,6.0,89.26604593159772,,
2020-05-12,12.0,133.4979637079671,,
2020-05-13,20.0,119.07350487397602,,
2020-05-14,29.0,107.7901508308945,,
2020-05-15,20.0,105.04004147600189,,
2020-05-16,23.0,115.09524126603989,,
2020-05-17,22.0,111.00520514702646,,
2020-05-18,10.0,111.6420092556688,,
2020-05-19,0.0,125.01200508931566,,
2020-05-20,65.0,127.53593228306485,,
2020-05-21,26.0,64.64973229974585,,
2020-05-22,112.0,120.89049013065053,,
2020-05-23,0.0,40.593942580589626,,
2020-05-24,54.0,163.50421234620578,,
2020-05-25,15.0,100.9491032718945,,
2020-05-26,0.0,127.1441715116757,,
2020-05-27,125.0,157.93118560691275,,
2020-05-28,36.0,5.654351866286703,,
2020-05-29,16.0,153.53841401354327,,
2020-05-30,38.0,134.82245164562116,,
2020-05-31,21.0,109.23677899550148,,
2020-06-01,18.0,127.11945605112695,,
2020-06-02,28.0,133.5822327272902,,
2020-06-03,21.0,104.62195629066102,,
2020-06-04,25.0,126.43359217810904,,
