,Indiana,forecast,interval_low,interval_high
2020-01-22,0.0,-5.4072136878967285,-17.970117568969727,0.43627995252609253
2020-01-23,0.0,-0.04836614057421684,-1.400917410850525,1.3973560333251953
2020-01-24,0.0,-0.14463815093040466,-1.4759329557418823,1.9476566314697266
2020-01-25,0.0,-0.0013768195640295744,-2.0244152545928955,3.0287630558013916
2020-01-26,0.0,0.2574305236339569,-0.5669713020324707,1.209647536277771
2020-01-27,0.0,-1.199857473373413,-6.622717380523682,0.7697784900665283
2020-01-28,0.0,0.37613430619239807,-0.47207993268966675,1.2386653423309326
2020-01-29,0.0,-0.0572136752307415,-0.6504077911376953,0.8441987633705139
2020-01-30,0.0,-0.23625759780406952,-1.4208611249923706,0.33080005645751953
2020-01-31,0.0,47.31566619873047,-0.16657483577728271,149.96278381347656
2020-02-01,0.0,1.8839019536972046,-1.3661575317382812,10.918444633483887
2020-02-02,0.0,61.129966735839844,-3.5512747764587402,310.4276123046875
2020-02-03,0.0,5.396105766296387,-0.07890373468399048,25.12403678894043
2020-02-04,0.0,-0.21672062575817108,-0.866315484046936,0.05225479602813721
2020-02-05,0.0,-1.4931848049163818,-6.619274139404297,1.8153083324432373
2020-02-06,0.0,0.6586037874221802,-1.0438117980957031,2.2169179916381836
2020-02-07,0.0,-0.6118865013122559,-1.645711898803711,-0.21019893884658813
2020-02-08,0.0,3.7438251972198486,-1.0959097146987915,19.789310455322266
2020-02-09,0.0,-0.9856443405151367,-9.690021514892578,5.896625995635986
2020-02-10,0.0,-0.11802168190479279,-1.8362445831298828,3.5820095539093018
2020-02-11,0.0,0.18961875140666962,-1.5116384029388428,1.4696332216262817
2020-02-12,0.0,7.667397975921631,-0.1293756365776062,32.801700592041016
2020-02-13,0.0,-0.07104818522930145,-1.3815964460372925,0.6709849834442139
2020-02-14,0.0,0.051265109330415726,-1.5981717109680176,0.937804102897644
2020-02-15,0.0,8.798325538635254,-3.870917320251465,47.56555938720703
2020-02-16,0.0,-14.034418106079102,-77.81483459472656,9.294340133666992
2020-02-17,0.0,-0.6147538423538208,-4.736392498016357,3.6492412090301514
2020-02-18,0.0,-2.5450279712677,-11.667608261108398,1.0018742084503174
2020-02-19,0.0,3.444734573364258,-1.0606571435928345,13.493017196655273
2020-02-20,0.0,4.259110450744629,-1.4701060056686401,20.644699096679688
2020-02-21,0.0,-1.9791873693466187,-4.561678409576416,-0.4789184331893921
2020-02-22,0.0,-1.32068932056427,-8.407161712646484,2.704094409942627
2020-02-23,0.0,0.6586675643920898,-0.44227731227874756,1.2302138805389404
2020-02-24,0.0,0.33497583866119385,-0.04533106088638306,0.7010940313339233
2020-02-25,0.0,-1.2203298807144165,-7.212037086486816,1.2672481536865234
2020-02-26,0.0,-0.8570054769515991,-1.5420048236846924,-0.1457119584083557
2020-02-27,0.0,0.11591179668903351,-1.2155191898345947,1.4202492237091064
2020-02-28,0.0,-1.5452549457550049,-6.228868007659912,0.3695802688598633
2020-02-29,0.0,-2.393833637237549,-13.367375373840332,0.8297797441482544
2020-03-01,0.0,0.40374669432640076,-0.6162383556365967,2.1407084465026855
2020-03-02,0.0,-2.611672878265381,-15.244256973266602,1.7135632038116455
2020-03-03,0.0,0.7317719459533691,-0.8092440366744995,1.833554744720459
2020-03-04,0.0,-0.046926092356443405,-0.5557663440704346,0.6402334570884705
2020-03-05,0.0,-0.2885553240776062,-1.3271664381027222,1.1081457138061523
2020-03-06,1.0,1.0047383308410645,0.5629416704177856,1.4364746809005737
2020-03-07,1.0,2.086864471435547,-0.3638796806335449,8.243012428283691
2020-03-08,2.0,25.51131248474121,1.4813868999481201,109.7486572265625
2020-03-09,3.0,3.9469730854034424,1.6437056064605713,8.75636100769043
2020-03-10,6.0,2.8009886741638184,-0.7207242250442505,5.74470329284668
2020-03-11,11.0,13.211038589477539,8.624787330627441,22.19179916381836
2020-03-12,13.0,12.5590181350708,8.570791244506836,18.282470703125
2020-03-13,13.0,14.005412101745605,11.99279499053955,15.82922077178955
2020-03-14,16.0,20.958332061767578,16.37066650390625,35.65550231933594
2020-03-15,20.0,16.918432235717773,8.386423110961914,22.573383331298828
2020-03-16,25.0,24.85247802734375,23.603530883789062,25.89832878112793
2020-03-17,30.0,31.262836456298828,28.882265090942383,37.85100173950195
2020-03-18,38.0,36.272037506103516,29.387653350830078,39.12300109863281
2020-03-19,60.0,66.70140075683594,21.321550369262695,131.74620056152344
2020-03-20,86.0,129.8357696533203,86.80547332763672,217.48060607910156
2020-03-21,128.0,153.78317260742188,123.6762466430664,201.68966674804688
2020-03-22,204.0,203.73104858398438,202.50843811035156,204.8188934326172
2020-03-23,270.0,289.26043701171875,269.7371826171875,361.9019775390625
2020-03-24,368.0,367.8481750488281,366.0232238769531,369.7549743652344
2020-03-25,477.0,496.4190979003906,360.22772216796875,644.8292236328125
2020-03-26,645.0,779.179931640625,644.8292236328125,977.1150512695312
2020-03-27,979.0,978.6046142578125,975.6845703125,980.2009887695312
2020-03-28,1233.0,1344.162841796875,1233.0914306640625,1513.8878173828125
2020-03-29,1513.0,1513.3939208984375,1511.562744140625,1514.684326171875
2020-03-30,1786.0,1857.100830078125,1784.4158935546875,2143.352294921875
2020-03-31,2158.0,2158.25732421875,2157.97607421875,2158.56103515625
2020-04-01,2564.0,2753.42333984375,2563.030517578125,3038.6494140625
2020-04-02,3038.0,3123.96728515625,3037.45263671875,3464.92041015625
2020-04-03,3437.0,3435.412109375,3434.25830078125,3437.07275390625
2020-04-04,3953.0,4132.37939453125,3951.303466796875,4420.283203125
2020-04-05,4411.0,4411.12353515625,4410.4150390625,4412.38037109375
2020-04-06,4956.0,4955.64794921875,4954.8818359375,4956.322265625
2020-04-07,5510.0,5572.31640625,5509.99365234375,5814.0654296875
2020-04-08,5943.0,5942.73681640625,5939.080078125,5945.35498046875
2020-04-09,6351.0,6614.93505859375,6344.0400390625,7164.5576171875
2020-04-10,6907.0,7003.59130859375,6905.74658203125,7373.62548828125
2020-04-11,7435.0,7579.60400390625,7433.06640625,8050.14404296875
2020-04-12,7928.0,7926.14599609375,7920.287109375,7929.24169921875
2020-04-13,8359.0,8471.494140625,8357.986328125,8783.322265625
2020-04-14,8527.0,8525.580078125,8522.0888671875,8533.53125
2020-04-15,8960.0,8962.2099609375,8955.8720703125,8964.8173828125
2020-04-16,9542.0,9785.4599609375,9540.2646484375,10201.57421875
2020-04-17,10154.0,10153.5048828125,10151.158203125,10155.7373046875
2020-04-18,10641.0,10640.73828125,10638.5791015625,10643.5107421875
2020-04-19,11211.0,11211.466796875,11209.353515625,11214.5966796875
2020-04-20,11688.0,11890.224609375,11684.4443359375,12206.5966796875
2020-04-21,12097.0,12161.736328125,12097.044921875,12409.4541015625
2020-04-22,12438.0,12459.6142578125,12172.5693359375,12811.435546875
2020-04-23,13039.0,13031.4921875,12366.724609375,13681.1455078125
2020-04-24,13681.0,13840.087890625,13675.4130859375,14475.33984375
2020-04-25,14399.0,14629.15625,14394.259765625,15078.9736328125
2020-04-26,15012.0,15011.9814453125,15008.5283203125,15016.2392578125
2020-04-27,15961.0,16085.6845703125,15959.0302734375,16588.734375
2020-04-28,16588.0,16664.015625,16583.4375,16969.35546875
2020-04-29,17182.0,17418.67578125,17182.015625,17800.576171875
2020-04-30,17835.0,17705.14453125,17182.6484375,17837.16015625
2020-05-01,18630.0,19098.244140625,18630.119140625,20077.0078125
2020-05-02,19295.0,19418.728515625,19293.501953125,19914.740234375
2020-05-03,19933.0,19686.1640625,18700.572265625,19933.435546875
2020-05-04,20507.0,20585.29296875,20500.8359375,20910.162109375
2020-05-05,21033.0,21035.744140625,21032.3671875,21039.9296875
2020-05-06,21870.0,21868.83984375,21863.333984375,21873.416015625
2020-05-07,22503.0,22327.90234375,21688.38671875,22503.9765625
2020-05-08,23146.0,23254.75,22342.583984375,23961.080078125
2020-05-09,23732.0,23876.005859375,23727.591796875,24457.017578125
2020-05-10,24126.0,24575.83203125,24124.46484375,25589.6953125
2020-05-11,24627.0,24628.65234375,24625.9453125,24633.0078125
2020-05-12,25127.0,25037.724609375,24681.869140625,25129.798828125
2020-05-13,25473.0,25329.6015625,24693.390625,25543.40234375
2020-05-14,26053.0,26282.150390625,26047.80078125,27192.759765625
2020-05-15,26656.0,26813.71875,26192.8359375,27357.951171875
2020-05-16,27280.0,27472.95703125,27275.345703125,28242.53125
2020-05-17,27778.0,27779.453125,27776.8359375,27782.572265625
2020-05-18,28255.0,28256.73828125,28254.154296875,28260.5078125
2020-05-19,28705.0,28701.369140625,28696.583984375,28704.263671875
2020-05-20,29274.0,29485.146484375,29266.12890625,29959.25390625
2020-05-21,29936.0,30009.890625,29929.146484375,30299.189453125
2020-05-22,30409.0,30503.31640625,30404.970703125,30885.95703125
2020-05-23,30901.0,31055.056640625,30782.0546875,31783.400390625
2020-05-24,31376.0,31279.18359375,30897.134765625,31375.8671875
2020-05-25,31715.0,31880.31640625,31682.197265625,32249.974609375
2020-05-26,32078.0,32436.21875,32075.744140625,33641.875
2020-05-27,32437.0,32439.41015625,32437.126953125,32442.560546875
2020-05-28,33068.0,32928.3671875,32377.578125,33067.56640625
2020-05-29,33558.0,33734.3828125,33559.125,34180.1015625
2020-05-30,34211.0,34210.60546875,34209.140625,34211.43359375
2020-05-31,34574.0,34434.98828125,33881.94921875,34575.6796875
2020-06-01,34830.0,35019.0,34830.171875,35772.6640625
2020-06-02,35237.0,35235.3359375,35232.26953125,35238.2421875
2020-06-03,35712.0,35713.6953125,35710.55859375,35716.5703125
2020-06-04,36096.0,36383.91796875,36094.8671875,37035.77734375
2020-06-05,36578.0,36577.9375,36574.24609375,36580.328125
2020-06-06,36997.0,36996.36328125,36993.84375,37000.40234375
2020-06-07,37397.0,37387.58203125,37126.7421875,37615.83203125
2020-06-08,37623.0,37622.8125,37620.10546875,37624.953125
2020-06-09,38033.0,38033.50390625,38031.28515625,38037.33203125
2020-06-10,38337.0,38378.18359375,38332.9375,38503.0234375
2020-06-11,38748.0,38734.72265625,38257.88671875,39174.73046875
2020-06-12,39146.0,39230.859375,39141.09765625,39564.25
2020-06-13,39543.0,39856.3984375,39541.7890625,41112.546875
2020-06-14,39909.0,39908.25,39902.52734375,39910.74609375
2020-06-15,40430.0,40559.84765625,40428.87890625,40782.828125
2020-06-16,40786.0,40787.3671875,40785.22265625,40789.68359375
2020-06-17,41013.0,41010.4296875,41007.3125,41013.31640625
2020-06-18,41438.0,41354.1328125,41011.33984375,41443.234375
2020-06-19,41746.0,41825.15234375,41745.5390625,42139.8515625
2020-06-20,42061.0,42249.40625,42061.9765625,42509.3828125
2020-06-21,42423.0,42422.35546875,42421.31640625,42423.8984375
2020-06-22,42633.0,42548.17578125,42210.2265625,42633.34375
2020-06-23,42871.0,43104.7890625,42870.4921875,43782.68359375
2020-06-24,43140.0,43267.0,43137.36328125,43776.875
2020-06-25,43655.0,43683.76953125,43651.7890625,43799.78515625
2020-06-26,44140.0,44139.9296875,44136.2265625,44143.81640625
2020-06-27,44575.0,44724.91796875,44569.3515625,45328.98828125
2020-06-28,44930.0,44930.58984375,44927.93359375,44932.90625
2020-06-29,45228.0,45296.2421875,45225.8984375,45571.140625
2020-06-30,45594.0,45383.25390625,44538.6640625,45595.33984375
2020-07-01,45952.0,45985.87109375,45950.84765625,46120.73046875
2020-07-02,46387.0,46566.203125,46386.06640625,47281.87109375
