,Maryland,forecast,interval_low,interval_high
2020-03-07,0.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-03-08,2.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-03-09,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-03-10,3.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-03-11,1.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-03-12,3.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-03-13,6.0,91.52066040039062,64.459716796875,109.2867431640625
2020-03-14,9.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-03-15,-3.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-03-16,18.0,61.56504440307617,48.936397552490234,74.7759780883789
2020-03-17,18.0,68.3558578491211,46.88727569580078,89.51764678955078
2020-03-18,25.0,68.59723663330078,41.50367736816406,83.53623962402344
2020-03-19,22.0,94.1773681640625,68.14232635498047,128.851318359375
2020-03-20,42.0,92.60906982421875,65.60140228271484,110.29109954833984
2020-03-21,44.0,109.13578033447266,86.47947692871094,132.77252197265625
2020-03-22,51.0,114.14559173583984,94.07564544677734,128.01670837402344
2020-03-23,46.0,68.81490325927734,55.11027908325195,82.52440643310547
2020-03-24,59.0,75.89189910888672,54.541236877441406,96.75285339355469
2020-03-25,76.0,76.07488250732422,50.118003845214844,90.27650451660156
2020-03-26,158.0,100.959716796875,75.46783447265625,134.2364959716797
2020-03-27,192.0,99.71443939208984,73.44842529296875,116.80238342285156
2020-03-28,220.0,116.5634765625,94.07305145263672,139.39337158203125
2020-03-29,244.0,121.45748138427734,101.19248962402344,135.09243774414062
2020-03-30,174.0,100.64364624023438,84.6282958984375,114.29497528076172
2020-03-31,247.0,108.79080963134766,88.02493286132812,128.18017578125
2020-04-01,326.0,108.96073150634766,85.03713989257812,122.27374267578125
2020-04-02,345.0,131.35874938964844,107.16607666015625,160.20004272460938
2020-04-03,427.0,131.50779724121094,106.69029235839844,146.312255859375
2020-04-04,367.0,147.02220153808594,124.86774444580078,167.7695770263672
2020-04-05,492.0,152.67637634277344,132.460205078125,165.85411071777344
2020-04-06,428.0,252.2404022216797,226.85076904296875,265.9874267578125
2020-04-07,326.0,263.707763671875,244.0768280029297,279.27130126953125
2020-04-08,1158.0,263.2300109863281,246.4314422607422,274.0357971191406
