,New York,forecast,interval_low,interval_high
2020-03-07,45.0,453.3852844238281,363.841796875,514.5457763671875
2020-03-08,30.0,524.0242919921875,439.6432800292969,641.1173095703125
2020-03-09,36.0,192.3935546875,131.24693298339844,230.56137084960938
2020-03-10,8.0,210.01165771484375,165.90342712402344,256.791748046875
2020-03-11,70.0,259.1430969238281,218.9738006591797,337.5704650878906
2020-03-12,107.0,364.2129821777344,307.9400329589844,406.567138671875
2020-03-13,94.0,417.1304931640625,328.0577697753906,498.709228515625
2020-03-14,192.0,455.1881103515625,365.9233703613281,516.18994140625
2020-03-15,2.0,526.0455932617188,441.44873046875,642.6578369140625
2020-03-16,352.0,218.6007843017578,156.87657165527344,254.7996063232422
2020-03-17,611.0,234.9073486328125,188.62997436523438,281.8101806640625
2020-03-18,1460.0,282.6304016113281,244.97947692871094,357.71148681640625
2020-03-19,2666.0,387.90087890625,333.5711975097656,429.6105041503906
2020-03-20,2699.0,442.1873779296875,354.1173095703125,519.08837890625
2020-03-21,3324.0,480.29296875,391.47064208984375,539.6718139648438
2020-03-22,4073.0,551.3171997070312,465.7503356933594,664.4015502929688
2020-03-23,5084.0,604.1625366210938,531.6863403320312,670.0830078125
2020-03-24,4797.0,584.4465942382812,456.6315002441406,681.095703125
2020-03-25,5160.0,607.3058471679688,592.06005859375,632.0325317382812
2020-03-26,7036.0,730.20751953125,714.8359985351562,753.848388671875
2020-03-27,6999.0,850.512939453125,776.12060546875,967.7219848632812
2020-03-28,7534.0,882.251220703125,838.4003295898438,904.5593872070312
2020-03-29,7238.0,986.0524291992188,864.1289672851562,1090.3426513671875
2020-03-30,7015.0,4112.86328125,3862.089599609375,4491.68359375
2020-03-31,9170.0,3956.662841796875,3749.765625,4217.0576171875
2020-04-01,8115.0,3825.458740234375,3522.4169921875,4121.93017578125
2020-04-02,8558.0,3972.991455078125,3711.83837890625,4107.62646484375
2020-04-03,10481.0,4141.44580078125,3649.042236328125,4723.19580078125
2020-04-04,10846.0,4153.06494140625,3965.852294921875,4459.71044921875
2020-04-05,9327.0,4144.79931640625,3826.253662109375,4696.97607421875
2020-04-06,8655.0,7349.62890625,7101.4169921875,7723.998046875
2020-04-07,8060.0,7150.10302734375,6973.6328125,7418.89404296875
2020-04-08,11186.0,6882.19287109375,6731.82275390625,7117.5166015625
