,Georgia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.5826924821843869,0.5826924821843869,0.5826924821843869
2020-01-26,0.0,0.913776388595362,0.913776388595362,0.913776388595362
2020-01-27,0.0,1.5528156446597468,1.5528156446597468,1.5528156446597468
2020-01-28,0.0,1.7953262953942768,1.7953262953942768,1.7953262953942768
2020-01-29,0.0,2.3809568181378618,2.3809568181378618,2.3809568181378618
2020-01-30,0.0,2.9534343383112778,2.9534343383112778,2.9534343383112778
2020-01-31,0.0,4.0188926054491425,4.0188926054491425,4.0188926054491425
2020-02-01,0.0,5.390442113763875,5.390442113763875,5.390442113763875
2020-02-02,0.0,6.980329521628676,6.980329521628676,6.980329521628676
2020-02-03,0.0,8.711546293934177,8.711546293934177,8.711546293934177
2020-02-04,0.0,10.502549606603358,10.502549606603358,10.502549606603358
2020-02-05,0.0,12.268667385265951,12.268667385265951,12.268667385265951
2020-02-06,0.0,13.93006329670177,13.93006329670177,13.93006329670177
2020-02-07,0.0,15.421448756888509,15.421448756888509,15.421448756888509
2020-02-08,0.0,16.699625718035083,16.699625718035083,16.699625718035083
2020-02-09,0.0,17.746325776931275,17.746325776931275,17.746325776931275
2020-02-10,0.0,18.565961354368167,18.565961354368167,18.565961354368167
2020-02-11,0.0,19.1798025668388,19.1798025668388,19.1798025668388
2020-02-12,0.0,19.618882073514886,19.618882073514886,19.618882073514886
2020-02-13,0.0,19.91758386049168,19.91758386049168,19.91758386049168
2020-02-14,0.0,20.108966897992513,20.108966897992513,20.108966897992513
2020-02-15,0.0,20.222013861157347,20.222013861157347,20.222013861157347
2020-02-16,0.0,20.28047403052268,20.28047403052268,20.28047403052268
2020-02-17,0.0,20.30279107758643,20.30279107758643,20.30279107758643
2020-02-18,0.0,20.30264326941473,20.30264326941473,20.30264326941473
2020-02-19,0.0,20.289747033619676,20.289747033619676,20.289747033619676
2020-02-20,0.0,20.270704448525205,20.270704448525205,20.270704448525205
2020-02-21,0.0,20.249776972662033,20.249776972662033,20.249776972662033
2020-02-22,0.0,20.229535528274262,20.229535528274262,20.229535528274262
2020-02-23,0.0,20.211376829307373,20.211376829307373,20.211376829307373
2020-02-24,0.0,20.195916251065128,20.195916251065128,20.195916251065128
2020-02-25,0.0,20.183276039685587,20.183276039685587,20.183276039685587
2020-02-26,0.0,20.173289537917125,20.173289537917125,20.173289537917125
2020-02-27,0.0,20.16564069134844,20.16564069134844,20.16564069134844
2020-02-28,0.0,20.15995532590159,20.15995532590159,20.15995532590159
2020-02-29,0.0,20.15585758660326,20.15585758660326,20.15585758660326
2020-03-01,0.0,20.15300200391941,20.15300200391941,20.15300200391941
2020-03-02,0.0,20.151089118341677,20.151089118341677,20.151089118341677
2020-03-03,2.0,22.149870504078674,22.149870504078674,22.149870504078674
2020-03-04,0.0,16.68821101793199,16.68821101793199,16.68821101793199
2020-03-05,0.0,22.029001786409484,22.029001786409484,22.029001786409484
2020-03-06,1.0,22.04028673899428,22.04028673899428,22.04028673899428
2020-03-07,2.0,20.01743805650479,20.01743805650479,20.01743805650479
2020-03-08,0.0,18.24752722460769,18.24752722460769,18.24752722460769
2020-03-09,5.0,27.862392421185646,27.862392421185646,27.862392421185646
2020-03-10,7.0,19.838248375954812,19.838248375954812,19.838248375954812
2020-03-11,6.0,18.96715905690794,18.96715905690794,18.96715905690794
2020-03-12,8.0,27.49814957990048,27.49814957990048,27.49814957990048
2020-03-13,11.0,25.756342374831213,25.756342374831213,25.756342374831213
2020-03-14,31.0,43.17441447688621,43.17441447688621,43.17441447688621
2020-03-15,26.0,8.597664920100389,8.597664920100389,8.597664920100389
2020-03-16,22.0,34.40633105238952,34.40633105238952,34.40633105238952
2020-03-17,25.0,49.664411346037376,49.664411346037376,49.664411346037376
2020-03-18,51.0,61.98690598214063,61.98690598214063,61.98690598214063
2020-03-19,90.0,65.33581898605011,65.33581898605011,65.33581898605011
2020-03-20,198.0,135.75607544657476,135.75607544657476,135.75607544657476
2020-03-21,70.0,0.0,0.0,0.0
2020-03-22,66.0,205.75641679651363,205.75641679651363,205.75641679651363
2020-03-23,151.0,224.816538146247,224.816538146247,224.816538146247
2020-03-24,254.0,114.65131674632016,114.65131674632016,114.65131674632016
2020-03-25,221.0,55.45828090560565,55.45828090560565,55.45828090560565
2020-03-26,278.0,301.8594610340815,301.8594610340815,301.8594610340815
2020-03-27,475.0,413.5037996494296,413.5037996494296,413.5037996494296
2020-03-28,366.0,0.0,0.0,0.0
2020-03-29,285.0,338.26157878489823,338.26157878489823,338.26157878489823
2020-03-30,157.0,348.6503958931762,348.6503958931762,348.6503958931762
2020-03-31,1121.0,1419.5673168809874,1419.5673168809874,1419.5673168809874
2020-04-01,709.0,0.0,0.0,0.0
2020-04-02,710.0,879.9856904544414,879.9856904544414,879.9856904544414
2020-04-03,483.0,737.6820322703445,737.6820322703445,737.6820322703445
2020-04-04,329.0,533.9806963365182,533.9806963365182,533.9806963365182
2020-04-05,487.0,1057.2994288097902,1057.2994288097902,1057.2994288097902
2020-04-06,667.0,701.4403699441148,701.4403699441148,701.4403699441148
2020-04-07,1508.0,1544.8729315823025,1544.8729315823025,1544.8729315823025
2020-04-08,1079.0,0.0,0.0,0.0
2020-04-09,665.0,908.8982190313611,908.8982190313611,908.8982190313611
2020-04-10,919.0,1725.5981733943795,1725.5981733943795,1725.5981733943795
2020-04-11,674.0,254.42540873642628,254.42540873642628,254.42540873642628
2020-04-12,293.0,711.3374298036489,711.3374298036489,711.3374298036489
