,Montana,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.031310113369319534,0.031310113369319534,0.031310113369319534
2020-01-26,0.0,0.050982187864700754,0.050982187864700754,0.050982187864700754
2020-01-27,0.0,0.07134069586606606,0.07134069586606606,0.07134069586606606
2020-01-28,0.0,0.08414407790721211,0.08414407790721211,0.08414407790721211
2020-01-29,0.0,0.1266237790895553,0.1266237790895553,0.1266237790895553
2020-01-30,0.0,0.16012173080608944,0.16012173080608944,0.16012173080608944
2020-01-31,0.0,0.22236350932150628,0.22236350932150628,0.22236350932150628
2020-02-01,0.0,0.2829365055390847,0.2829365055390847,0.2829365055390847
2020-02-02,0.0,0.3412774348227286,0.3412774348227286,0.3412774348227286
2020-02-03,0.0,0.3969101107664644,0.3969101107664644,0.3969101107664644
2020-02-04,0.0,0.449457274929455,0.449457274929455,0.449457274929455
2020-02-05,0.0,0.49864534407372535,0.49864534407372535,0.49864534407372535
2020-02-06,0.0,0.5443026465713489,0.5443026465713489,0.5443026465713489
2020-02-07,0.0,0.5863522980441028,0.5863522980441028,0.5863522980441028
2020-02-08,0.0,0.6248011861393116,0.6248011861393116,0.6248011861393116
2020-02-09,0.0,0.6597266040932169,0.6597266040932169,0.6597266040932169
2020-02-10,0.0,0.6912619438804698,0.6912619438804698,0.6912619438804698
2020-02-11,0.0,0.7195826038784537,0.7195826038784537,0.7195826038784537
2020-02-12,0.0,0.7448929543123407,0.7448929543123407,0.7448929543123407
2020-02-13,0.0,0.7674148937094801,0.7674148937094801,0.7674148937094801
2020-02-14,0.0,0.7873782591486462,0.7873782591486462,0.7873782591486462
2020-02-15,0.0,0.8050131412430944,0.8050131412430944,0.8050131412430944
2020-02-16,0.0,0.8205440055962745,0.8205440055962745,0.8205440055962745
2020-02-17,0.0,0.8341854301953658,0.8341854301953658,0.8341854301953658
2020-02-18,0.0,0.8461392221343621,0.8461392221343621,0.8461392221343621
2020-02-19,0.0,0.8565926650372889,0.8565926650372889,0.8565926650372889
2020-02-20,0.0,0.8657176592725486,0.8657176592725486,0.8657176592725486
2020-02-21,0.0,0.8736705411727242,0.8736705411727242,0.8736705411727242
2020-02-22,0.0,0.8805923979716632,0.8805923979716632,0.8805923979716632
2020-02-23,0.0,0.8866097271837015,0.8866097271837015,0.8866097271837015
2020-02-24,0.0,0.8918353196197699,0.8918353196197699,0.8918353196197699
2020-02-25,0.0,0.8963692724685512,0.8963692724685512,0.8963692724685512
2020-02-26,0.0,0.9003000621331665,0.9003000621331665,0.9003000621331665
