,Louisiana,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.1619617045871706,0.1619617045871706,0.1619617045871706
2020-01-26,0.0,0.28837023887799595,0.28837023887799595,0.28837023887799595
2020-01-27,0.0,0.4522183476645655,0.4522183476645655,0.4522183476645655
2020-01-28,0.0,0.5862836140113958,0.5862836140113958,0.5862836140113958
2020-01-29,0.0,0.7922296415941511,0.7922296415941511,0.7922296415941511
2020-01-30,0.0,1.0359991309383578,1.0359991309383578,1.0359991309383578
2020-01-31,0.0,1.2797686202825578,1.2797686202825578,1.2797686202825578
2020-02-01,0.0,1.5235381096267473,1.5235381096267473,1.5235381096267473
2020-02-02,0.0,1.7673075989709246,1.7673075989709246,1.7673075989709246
2020-02-03,0.0,2.011077088315088,2.011077088315088,2.011077088315088
2020-02-04,0.0,2.2548465776592335,2.2548465776592335,2.2548465776592335
2020-02-05,0.0,2.4986160670033604,2.4986160670033604,2.4986160670033604
2020-02-06,0.0,2.7423855563474655,2.7423855563474655,2.7423855563474655
2020-02-07,0.0,2.9861550456915458,2.9861550456915458,2.9861550456915458
2020-02-08,0.0,3.229924535035599,3.229924535035599,3.229924535035599
2020-02-09,0.0,3.4736940243796224,3.4736940243796224,3.4736940243796224
2020-02-10,0.0,3.717463513723618,3.717463513723618,3.717463513723618
2020-02-11,0.0,3.9612330030675826,3.9612330030675826,3.9612330030675826
2020-02-12,0.0,4.205002492411513,4.205002492411513,4.205002492411513
2020-02-13,0.0,4.448771981755405,4.448771981755405,4.448771981755405
2020-02-14,0.0,4.692541471099258,4.692541471099258,4.692541471099258
2020-02-15,0.0,4.93631096044307,4.93631096044307,4.93631096044307
2020-02-16,0.0,5.180080449786837,5.180080449786837,5.180080449786837
2020-02-17,0.0,5.4238499391305615,5.4238499391305615,5.4238499391305615
2020-02-18,0.0,5.667619428474238,5.667619428474238,5.667619428474238
2020-02-19,0.0,5.911388917817865,5.911388917817865,5.911388917817865
2020-02-20,0.0,6.155158407161441,6.155158407161441,6.155158407161441
2020-02-21,0.0,6.398927896504964,6.398927896504964,6.398927896504964
2020-02-22,0.0,6.642697385848432,6.642697385848432,6.642697385848432
2020-02-23,0.0,6.886466875191845,6.886466875191845,6.886466875191845
2020-02-24,0.0,7.130236364535195,7.130236364535195,7.130236364535195
2020-02-25,0.0,7.374005853878479,7.374005853878479,7.374005853878479
2020-02-26,0.0,7.617775343221697,7.617775343221697,7.617775343221697
2020-02-27,0.0,7.861544832564844,7.861544832564844,7.861544832564844
2020-02-28,0.0,8.10531432190792,8.10531432190792,8.10531432190792
