,New Hampshire,forecast,interval_low,interval_high
2020-05-31,4651.0,6244.946551634327,,
2020-06-01,4685.0,6038.680127826069,,
2020-06-02,4749.0,6217.587375707033,,
2020-06-03,4795.0,6173.319585342763,,
2020-06-04,4876.0,6208.298957013764,,
2020-06-05,4953.0,6143.174684533041,,
2020-06-06,5019.0,6155.842807317034,,
2020-06-07,5043.0,6181.624320313478,,
2020-06-08,5079.0,6207.706240036338,,
2020-06-09,5079.0,6188.697535864603,,
2020-06-10,5178.0,6229.595139999718,,
2020-06-11,5209.0,6106.207970882577,,
2020-06-12,5251.0,6197.718506571725,,
2020-06-13,5299.0,6164.5870451997125,,
2020-06-14,5318.0,6155.133502641449,,
2020-06-15,5345.0,6188.202008021638,,
2020-06-16,5364.0,6180.466667724515,,
2020-06-17,5436.0,6197.639859970722,,
2020-06-18,5450.0,6117.421204721486,,
2020-06-19,5486.0,6198.516973829336,,
2020-06-20,5518.0,6160.006211463653,,
2020-06-21,5544.0,6164.687640180627,,
2020-06-22,5558.0,6171.302002533132,,
2020-06-23,5571.0,6189.947414271702,,
2020-06-24,5598.0,6188.349848573627,,
2020-06-25,5638.0,6159.996837648977,,
2020-06-26,5671.0,6149.770581319176,,
2020-06-27,5717.0,6158.893267417824,,
2020-06-28,5747.0,6141.622171686144,,
2020-06-29,5760.0,6163.371158831223,,
2020-06-30,5782.0,6184.704789310922,,
2020-07-01,5802.0,6175.505371738136,,
2020-07-02,5822.0,6178.293452116302,,
2020-07-03,5857.0,6175.577094311369,,
2020-07-04,5872.0,6156.310106558009,,
2020-07-05,5897.0,6176.235004953874,,
2020-07-06,5914.0,6159.507230553157,,
2020-07-07,5932.0,6172.683968522534,,
2020-07-08,5952.0,6169.164848355598,,
2020-07-09,5973.0,6168.568859977558,,
2020-07-10,5991.0,6166.850540987618,,
2020-07-11,6024.0,6167.561933166799,,
2020-07-12,6054.0,6150.430299828737,,
2020-07-13,6068.0,6155.978545821033,,
2020-07-14,6091.0,6176.2861216088595,,
2020-07-15,6113.0,6164.197942630968,,
2020-07-16,6139.0,6166.425503386906,,
2020-07-17,6165.0,6162.64384480213,,
2020-07-18,6188.0,6165.718408492063,,
2020-07-19,,6212.215060329197,6158.780498296042,6265.649622362351
2020-07-20,,6234.327564981451,6164.68064784545,6303.974482117453
2020-07-21,,6259.132194177503,6167.616781503993,6350.647606851014
2020-07-22,,6283.375446135586,6172.767030460413,6393.983861810759
2020-07-23,,6308.8504224628905,6176.4161610575,6441.284683868281
2020-07-24,,6333.449036651841,6178.996779538718,6487.901293764964
2020-07-25,,6358.150052289295,6176.53361446993,6539.766490108659
