,Washington,forecast,interval_low,interval_high
2020-01-22,1.0,-3.4770076274871826,-18.093793869018555,1.9299238920211792
2020-01-23,1.0,0.9180976748466492,0.12715932726860046,1.7855725288391113
2020-01-24,1.0,-1.1099097728729248,-24.510358810424805,15.597474098205566
2020-01-25,1.0,0.7894701361656189,0.058138906955718994,1.5720549821853638
2020-01-26,1.0,-2.483682155609131,-17.448972702026367,1.8480525016784668
2020-01-27,1.0,-9.676833152770996,-53.683746337890625,2.575476884841919
2020-01-28,1.0,1.4330852031707764,0.8281410932540894,2.7512733936309814
2020-01-29,1.0,-2.9689745903015137,-17.762165069580078,1.3715882301330566
2020-01-30,1.0,5.368112564086914,0.9762243628501892,21.409381866455078
2020-01-31,1.0,0.8085471987724304,-6.699562072753906e-05,1.4789719581604004
2020-02-01,1.0,0.6745204329490662,-1.6165616512298584,1.6037921905517578
2020-02-02,1.0,8.843591690063477,-0.06105726957321167,41.44082260131836
2020-02-03,1.0,-2.3781533241271973,-13.378975868225098,1.7995156049728394
2020-02-04,1.0,2.193236827850342,0.9692705869674683,5.630329608917236
2020-02-05,1.0,0.5658797025680542,-0.7975319623947144,1.4765427112579346
2020-02-06,1.0,0.417833149433136,-2.974071502685547,3.0328433513641357
2020-02-07,1.0,1.1373646259307861,-1.0379420518875122,3.67747163772583
2020-02-08,1.0,-0.08832915127277374,-1.4421080350875854,1.0921685695648193
2020-02-09,1.0,-25.707345962524414,-124.31965637207031,2.8764281272888184
2020-02-10,1.0,0.759191632270813,-0.5665842294692993,2.0489580631256104
2020-02-11,1.0,3.2348856925964355,-2.8722305297851562,13.65519905090332
2020-02-12,1.0,0.6454225778579712,-0.06200069189071655,1.3044545650482178
2020-02-13,1.0,0.9122897982597351,-0.2987062931060791,2.441288948059082
2020-02-14,1.0,7.812368869781494,-2.453296184539795,33.7005615234375
2020-02-15,1.0,1.0769225358963013,-0.6289691925048828,2.768751382827759
2020-02-16,1.0,0.11745858192443848,-3.286144733428955,4.671891689300537
2020-02-17,1.0,9.727498054504395,0.42066580057144165,42.54966735839844
2020-02-18,1.0,4.387267112731934,-0.2849346399307251,18.908044815063477
2020-02-19,1.0,3.2728378772735596,1.0259177684783936,6.209738731384277
2020-02-20,1.0,0.19538116455078125,-7.234567165374756,4.3076372146606445
2020-02-21,1.0,1.5852307081222534,-0.3376530408859253,5.383212089538574
2020-02-22,1.0,1.3567793369293213,-0.06435096263885498,2.6420040130615234
2020-02-23,1.0,1.8885456323623657,0.7157524824142456,3.7855355739593506
2020-02-24,1.0,0.7985695600509644,0.4837138056755066,1.1263067722320557
2020-02-25,1.0,-2.371206760406494,-14.449685096740723,1.9787777662277222
2020-02-26,1.0,18.305370330810547,-0.3303070068359375,72.78910827636719
2020-02-27,1.0,1.3634629249572754,-5.125030517578125,7.667876243591309
2020-02-28,1.0,0.8453582525253296,-0.341686487197876,1.3652222156524658
2020-02-29,7.0,-0.8498185276985168,-13.424524307250977,7.667322635650635
2020-03-01,11.0,23.777254104614258,10.840743064880371,49.382102966308594
2020-03-02,18.0,18.047834396362305,17.79949378967285,18.437143325805664
2020-03-03,27.0,31.833709716796875,26.77486801147461,50.21898651123047
2020-03-04,39.0,38.39470672607422,37.49690628051758,39.295867919921875
2020-03-05,70.0,76.01411437988281,71.73043060302734,89.65592193603516
2020-03-06,78.0,77.06649780273438,75.9988021850586,78.34931182861328
2020-03-07,102.0,102.34297943115234,100.89773559570312,103.79300689697266
2020-03-08,122.0,123.21882629394531,103.64088439941406,153.2737274169922
2020-03-09,122.0,133.22042846679688,119.71875762939453,169.73065185546875
2020-03-10,167.0,190.3238525390625,165.28077697753906,280.3726501464844
2020-03-11,282.0,280.97967529296875,279.3862609863281,282.4337463378906
2020-03-12,442.0,443.60711669921875,442.61395263671875,445.64300537109375
2020-03-13,568.0,568.4112548828125,566.6724243164062,572.265625
2020-03-14,642.0,640.3858642578125,638.4954223632812,641.7241821289062
2020-03-15,603.0,694.110107421875,603.537841796875,868.5664672851562
2020-03-16,779.0,779.3192749023438,778.4086303710938,779.8126220703125
2020-03-17,955.0,1010.4921875,954.7439575195312,1120.638427734375
2020-03-18,1022.0,1023.1417846679688,1021.8223876953125,1024.6849365234375
2020-03-19,1374.0,1371.5313720703125,1368.0059814453125,1374.2535400390625
2020-03-20,1524.0,1638.677001953125,1521.0069580078125,1830.992431640625
2020-03-21,1793.0,1792.748046875,1791.1793212890625,1794.9345703125
2020-03-22,1997.0,2041.6907958984375,1996.543701171875,2218.626708984375
2020-03-23,2221.0,2245.34326171875,2219.501708984375,2343.860595703125
2020-03-24,2328.0,2376.79736328125,2326.353271484375,2573.96142578125
2020-03-25,2591.0,2591.98388671875,2588.666015625,2598.77880859375
2020-03-26,3207.0,3339.285888671875,3201.69140625,3551.296875
2020-03-27,3477.0,3591.871826171875,3476.155029296875,4044.648681640625
2020-03-28,4030.0,4029.487060546875,4028.787841796875,4030.4091796875
2020-03-29,4465.0,4484.27490234375,4463.96875,4561.837890625
2020-03-30,4923.0,5023.44970703125,4922.51025390625,5425.16259765625
2020-03-31,5432.0,5432.36181640625,5431.86865234375,5432.857421875
2020-04-01,5608.0,5848.3212890625,5607.8046875,6342.8388671875
2020-04-02,6389.0,6195.07763671875,5424.79931640625,6388.49560546875
2020-04-03,6846.0,7101.84130859375,6846.18017578125,7607.890625
2020-04-04,7247.0,7344.4658203125,7242.60791015625,7733.4287109375
2020-04-05,7825.0,7877.1220703125,7824.4111328125,8083.67578125
