,Hawaii,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-0.011560827493667603
2020-01-31,0.0,0.0,0.0,-0.011560827493667603
2020-02-01,0.0,0.0,0.0,-0.011560827493667603
2020-02-02,0.0,0.0,0.0,0.21891015768051147
2020-02-03,0.0,0.0,0.0,0.32534027099609375
2020-02-04,0.0,0.06780659159024556,0.0,0.4103974997997284
2020-02-05,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-06,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-07,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-08,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-09,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-10,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-11,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-12,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-13,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-14,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-15,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-16,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-17,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-18,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-19,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-20,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-21,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-22,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-23,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-24,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-25,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-26,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-27,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-28,0.0,0.22618008511407034,0.0,1.176421046257019
2020-02-29,0.0,0.22618016600608826,0.0,1.176421046257019
2020-03-01,0.0,0.22618016600608826,0.0,1.176421046257019
2020-03-02,0.0,0.22618008511407034,0.0,1.176421046257019
2020-03-03,0.0,0.22618008511407034,0.0,1.176421046257019
2020-03-04,0.0,0.22618008511407034,0.0,1.176421046257019
2020-03-05,0.0,0.22618008511407034,0.0,1.176421046257019
2020-03-06,0.0,0.22618001699447632,0.0,1.1764205694198608
2020-03-07,1.0,0.22618001699447632,0.0,1.1764205694198608
2020-03-08,0.0,0.23837188737733023,0.0,1.176421046257019
2020-03-09,0.0,0.2756432890892029,0.0,1.176421046257019
2020-03-10,2.0,0.31411569459097727,0.0,1.176421046257019
2020-03-11,-1.0,0.3861307033470699,0.0,1.176421046257019
2020-03-12,0.0,0.4889967143535614,0.18122151494026184,1.176421046257019
2020-03-13,0.0,0.5863028722149985,0.103899747133255,1.176421046257019
2020-03-14,2.0,0.6571548921721322,0.04833364486694336,1.3643760681152344
2020-03-15,2.0,0.6679477563926152,0.0,1.411220908164978
2020-03-16,2.0,0.7940421445029122,0.12362939119338989,1.4329273700714111
2020-03-17,2.0,0.8863362159047808,0.4318326711654663,1.8049814701080322
2020-03-18,5.0,1.0084142599787032,0.6917285919189453,1.6840362548828125
2020-03-19,10.0,1.3168496489524841,0.6769365668296814,2.17309832572937
2020-03-20,11.0,1.9080983400344849,1.1799747943878174,3.5023300647735596
2020-03-21,0.0,2.8529745170048306,1.7539548873901367,5.364634037017822
2020-03-22,17.0,3.950592347553798,2.16609787940979,6.5623040199279785
2020-03-23,3.0,5.079523393086025,2.616659641265869,7.85886812210083
2020-03-24,34.0,6.509421518870762,2.8913333415985107,9.094015121459961
2020-03-25,1.0,8.124985899244036,4.022672176361084,11.491839408874512
2020-03-26,4.0,10.225332600729805,5.9867939949035645,13.926713943481445
2020-03-27,11.0,11.120219366891044,8.237464904785156,14.080218315124512
2020-03-28,43.0,12.214255196707589,8.20816421508789,14.49274730682373
2020-03-29,0.0,13.063789640154157,10.756814956665039,15.34821605682373
2020-03-30,26.0,14.999576159885951,10.77547550201416,18.772708892822266
2020-03-31,29.0,15.57586738041469,12.673945426940918,17.1341609954834
2020-04-01,20.0,16.03602913447789,13.174585342407227,18.069297790527344
2020-04-02,32.0,17.132988248552596,13.136719703674316,20.612836837768555
2020-04-03,63.0,19.631167548043386,13.750411987304688,22.241533279418945
2020-04-04,32.0,20.995391300746373,17.781230926513672,25.53681182861328
2020-04-05,20.0,23.4633423941476,17.635969161987305,28.85230827331543
2020-04-06,16.0,25.793247767857142,19.630521774291992,30.67827033996582
2020-04-07,23.0,26.39166341509138,22.364421844482422,30.46974754333496
2020-04-08,0.0,26.292620522635325,22.386837005615234,31.85487937927246
2020-04-09,32.0,27.27204622541155,20.091583251953125,35.8922233581543
2020-04-10,0.0,25.28178310394287,14.065348625183105,35.8763427734375
2020-04-11,23.0,22.410373823983328,14.838333129882812,32.74043273925781
2020-04-12,34.0,19.26460865565709,14.243090629577637,29.09087562561035
2020-04-13,5.0,17.881387301853724,13.137508392333984,25.382320404052734
2020-04-14,7.0,16.660734585353307,11.45957088470459,23.478240966796875
2020-04-15,13.0,17.23681381770543,15.17285442352295,19.27895736694336
2020-04-16,6.0,17.277688435145787,14.146905899047852,19.76279640197754
2020-04-17,11.0,17.089349610464915,14.123208045959473,20.169137954711914
