,New York,forecast,interval_low,interval_high
2020-06-23,597.0,595.8145751953125,590.0116577148438,597.7730102539062
2020-06-24,581.0,602.5519409179688,580.4186401367188,688.9647216796875
2020-06-25,749.0,745.5408325195312,644.1966552734375,836.368408203125
2020-06-26,805.0,790.1532592773438,732.4810791015625,804.90966796875
2020-06-27,703.0,703.8214721679688,703.1566162109375,705.2958374023438
2020-06-28,616.0,615.9425048828125,615.5427856445312,616.3638916015625
2020-06-29,391.0,391.1322021484375,390.9121398925781,391.246337890625
2020-06-30,524.0,495.77886962890625,443.509765625,523.9299926757812
2020-07-01,625.0,664.7952270507812,624.78076171875,824.2464599609375
2020-07-02,875.0,874.9576416015625,874.7821655273438,875.14892578125
2020-07-03,918.0,857.4268798828125,752.7577514648438,917.9954223632812
2020-07-04,726.0,718.4794921875,694.1533203125,727.115966796875
2020-07-05,533.0,571.0338134765625,532.946533203125,722.6580200195312
2020-07-06,518.0,534.422119140625,517.7247924804688,599.4708862304688
2020-07-07,588.0,567.1185913085938,212.15248107910156,743.9786987304688
2020-07-08,692.0,682.9772338867188,649.2247314453125,691.6522827148438
2020-07-09,584.0,622.0186157226562,584.2665405273438,771.8743896484375
2020-07-10,786.0,785.66162109375,785.4297485351562,785.9287109375
2020-07-11,730.0,726.2277221679688,709.923583984375,730.7932739257812
2020-07-12,677.0,679.4705200195312,676.801513671875,689.4983520507812
2020-07-13,557.0,655.3759155273438,557.1049194335938,806.7676391601562
2020-07-14,912.0,911.6209716796875,911.2854614257812,912.0359497070312
2020-07-15,831.0,831.4521484375,831.1685791015625,831.6336669921875
2020-07-16,769.0,752.0048828125,685.6631469726562,768.82373046875
2020-07-17,776.0,774.5328979492188,766.575439453125,778.3060913085938
2020-07-18,754.0,757.6405029296875,753.8165283203125,772.1062622070312
2020-07-19,,708.790283203125,671.5982666015625,731.9044799804688
2020-07-20,,688.0739135742188,625.6810913085938,728.218017578125
2020-07-21,,797.8134155273438,758.2373046875,860.1226806640625
2020-07-22,,748.9087524414062,719.63916015625,798.7855834960938
2020-07-23,,725.4991455078125,685.682861328125,752.072021484375
2020-07-24,,774.4902954101562,749.4595336914062,799.4146728515625
2020-07-25,,1006.6203002929688,760.2713012695312,1178.44921875
